Grid Number,Video Filename
1,CAPTIONING_False__CONDITIONING_seg_0.7_inst_0.7_temp_1.1__SPLITSTART_seg_0.11_inst_0.0_temp_0.0__SPLITEND_seg_1.0_inst_0.1_temp_0.1.mp4
2,CAPTIONING_False__CONDITIONING_seg_0.7_inst_0.7_temp_1.1__SPLITSTART_seg_0.11_inst_0.11_temp_0.0__SPLITEND_seg_1.0_inst_1.0_temp_0.1.mp4
3,CAPTIONING_False__CONDITIONING_seg_0.7_inst_0.7_temp_1.1__SPLITSTART_seg_0.11_inst_0.21_temp_0.0__SPLITEND_seg_0.2_inst_1.0_temp_0.1.mp4
4,CAPTIONING_False__CONDITIONING_seg_0.7_inst_0.7_temp_1.1__SPLITSTART_seg_0.11_inst_0.31_temp_0.0__SPLITEND_seg_0.3_inst_1.0_temp_0.1.mp4
5,CAPTIONING_False__CONDITIONING_seg_0.7_inst_0.7_temp_1.1__SPLITSTART_seg_0.11_inst_0.41_temp_0.0__SPLITEND_seg_0.4_inst_1.0_temp_0.1.mp4
6,CAPTIONING_False__CONDITIONING_seg_0.7_inst_0.7_temp_1.1__SPLITSTART_seg_0.11_inst_0.51_temp_0.0__SPLITEND_seg_0.5_inst_1.0_temp_0.1.mp4
7,CAPTIONING_False__CONDITIONING_seg_0.7_inst_0.7_temp_1.1__SPLITSTART_seg_0.11_inst_0.61_temp_0.0__SPLITEND_seg_0.6_inst_1.0_temp_0.1.mp4
8,CAPTIONING_False__CONDITIONING_seg_0.7_inst_0.7_temp_1.1__SPLITSTART_seg_0.21_inst_0.0_temp_0.0__SPLITEND_seg_1.0_inst_0.2_temp_0.2.mp4
9,CAPTIONING_False__CONDITIONING_seg_0.7_inst_0.7_temp_1.1__SPLITSTART_seg_0.21_inst_0.21_temp_0.0__SPLITEND_seg_1.0_inst_1.0_temp_0.2.mp4
10,CAPTIONING_False__CONDITIONING_seg_0.7_inst_0.7_temp_1.1__SPLITSTART_seg_0.21_inst_0.31_temp_0.0__SPLITEND_seg_0.3_inst_1.0_temp_0.2.mp4
11,CAPTIONING_False__CONDITIONING_seg_0.7_inst_0.7_temp_1.1__SPLITSTART_seg_0.21_inst_0.41_temp_0.0__SPLITEND_seg_0.4_inst_1.0_temp_0.2.mp4
12,CAPTIONING_False__CONDITIONING_seg_0.7_inst_0.7_temp_1.1__SPLITSTART_seg_0.21_inst_0.51_temp_0.0__SPLITEND_seg_0.5_inst_1.0_temp_0.2.mp4
13,CAPTIONING_False__CONDITIONING_seg_0.7_inst_0.7_temp_1.1__SPLITSTART_seg_0.21_inst_0.61_temp_0.0__SPLITEND_seg_0.6_inst_1.0_temp_0.2.mp4
14,CAPTIONING_False__CONDITIONING_seg_0.7_inst_0.7_temp_1.1__SPLITSTART_seg_0.21_inst_0.71_temp_0.0__SPLITEND_seg_0.7_inst_1.0_temp_0.2.mp4
15,CAPTIONING_False__CONDITIONING_seg_0.7_inst_0.7_temp_1.1__SPLITSTART_seg_0.31_inst_0.0_temp_0.0__SPLITEND_seg_1.0_inst_0.3_temp_0.3.mp4
16,CAPTIONING_False__CONDITIONING_seg_0.7_inst_0.7_temp_1.1__SPLITSTART_seg_0.31_inst_0.31_temp_0.0__SPLITEND_seg_1.0_inst_1.0_temp_0.3.mp4
17,CAPTIONING_False__CONDITIONING_seg_0.7_inst_0.7_temp_1.1__SPLITSTART_seg_0.31_inst_0.41_temp_0.0__SPLITEND_seg_0.4_inst_1.0_temp_0.3.mp4
18,CAPTIONING_False__CONDITIONING_seg_0.7_inst_0.7_temp_1.1__SPLITSTART_seg_0.31_inst_0.51_temp_0.0__SPLITEND_seg_0.5_inst_1.0_temp_0.3.mp4
19,CAPTIONING_False__CONDITIONING_seg_0.7_inst_0.7_temp_1.1__SPLITSTART_seg_0.31_inst_0.61_temp_0.0__SPLITEND_seg_0.6_inst_1.0_temp_0.3.mp4
20,CAPTIONING_False__CONDITIONING_seg_0.7_inst_0.7_temp_1.1__SPLITSTART_seg_0.31_inst_0.71_temp_0.0__SPLITEND_seg_0.7_inst_1.0_temp_0.3.mp4
21,CAPTIONING_False__CONDITIONING_seg_0.7_inst_0.7_temp_1.1__SPLITSTART_seg_0.31_inst_0.81_temp_0.0__SPLITEND_seg_0.8_inst_1.0_temp_0.3.mp4
22,CAPTIONING_False__CONDITIONING_seg_0.7_inst_0.7_temp_1.1__SPLITSTART_seg_0.41_inst_0.0_temp_0.0__SPLITEND_seg_1.0_inst_0.4_temp_0.4.mp4
23,CAPTIONING_False__CONDITIONING_seg_0.7_inst_0.7_temp_1.1__SPLITSTART_seg_0.41_inst_0.41_temp_0.0__SPLITEND_seg_1.0_inst_1.0_temp_0.4.mp4
24,CAPTIONING_False__CONDITIONING_seg_0.7_inst_0.7_temp_1.1__SPLITSTART_seg_0.41_inst_0.51_temp_0.0__SPLITEND_seg_0.5_inst_1.0_temp_0.4.mp4
25,CAPTIONING_False__CONDITIONING_seg_0.7_inst_0.7_temp_1.1__SPLITSTART_seg_0.41_inst_0.61_temp_0.0__SPLITEND_seg_0.6_inst_1.0_temp_0.4.mp4
26,CAPTIONING_False__CONDITIONING_seg_0.7_inst_0.7_temp_1.1__SPLITSTART_seg_0.41_inst_0.71_temp_0.0__SPLITEND_seg_0.7_inst_1.0_temp_0.4.mp4
27,CAPTIONING_False__CONDITIONING_seg_0.7_inst_0.7_temp_1.1__SPLITSTART_seg_0.41_inst_0.81_temp_0.0__SPLITEND_seg_0.8_inst_1.0_temp_0.4.mp4
28,CAPTIONING_False__CONDITIONING_seg_0.7_inst_0.7_temp_1.1__SPLITSTART_seg_0.41_inst_0.91_temp_0.0__SPLITEND_seg_0.9_inst_1.0_temp_0.4.mp4
